Update,Episode,Step,dy,dx,vy,thrust,pitch,reward
0,0,379,3.36,3.44,-0.00,0.12,-0.62,-0.011
0,0,380,3.36,3.44,-0.00,0.12,-0.45,-0.011
0,0,381,3.36,3.44,-0.00,0.10,-0.21,-0.011
0,0,382,3.36,3.44,-0.00,0.16,-0.33,-0.011
0,0,383,3.36,3.44,-0.00,0.43,-0.44,-0.011
0,0,384,3.36,3.44,-0.00,0.33,0.37,-0.011
0,0,385,3.36,3.44,-0.00,0.23,-0.86,-0.011
0,0,386,3.36,3.44,-0.00,0.31,-0.32,-0.011
0,0,387,3.36,3.44,-0.00,0.49,-0.43,-0.011
0,0,388,3.36,3.44,-0.00,0.34,-0.71,-0.011
0,0,389,3.36,3.44,-0.00,0.33,-0.47,-0.011
0,0,390,3.36,3.44,-0.00,0.26,-0.44,-0.011
0,0,391,3.36,3.44,-0.00,0.13,-0.54,-0.011
0,0,392,3.36,3.44,-0.00,0.50,-0.37,-0.011
0,0,393,3.36,3.44,-0.00,0.09,-0.33,-0.011
0,0,394,3.36,3.44,-0.00,0.47,-0.78,-0.011
0,0,395,3.36,3.44,-0.00,0.12,-0.03,-0.011
0,0,396,3.36,3.44,-0.00,0.23,-0.39,-0.011
0,0,397,3.36,3.44,-0.00,0.40,-0.34,-0.011
0,0,398,3.36,3.44,-0.00,0.36,-0.54,-0.011
0,0,399,3.36,3.44,-0.00,0.09,-0.67,-0.011
0,0,400,3.36,3.44,-0.00,0.45,-0.63,-0.011
0,0,401,3.36,3.44,-0.00,0.32,-0.55,-0.011
0,0,402,3.36,3.44,-0.00,0.09,0.04,-0.011
0,0,403,3.36,3.44,-0.00,0.33,-0.20,-0.011
0,0,404,3.36,3.44,-0.00,0.18,-0.73,-0.011
0,0,405,3.36,3.44,-0.00,0.14,-0.41,-0.011
0,0,406,3.36,3.44,-0.00,0.33,-0.58,-0.011
0,0,407,3.36,3.44,-0.00,0.16,-0.71,-0.011
0,0,408,3.36,3.44,-0.00,0.22,-0.43,-0.011
0,0,409,3.36,3.44,-0.00,0.36,0.14,-0.011
0,0,410,3.36,3.44,-0.00,0.30,-0.34,-0.011
0,0,411,3.36,3.44,-0.00,0.18,-0.55,-0.011
0,0,412,3.36,3.44,-0.00,0.32,-0.46,-0.011
0,0,413,3.36,3.44,-0.00,0.48,-0.05,-0.011
0,0,414,3.36,3.44,-0.00,0.36,-0.38,-0.011
0,0,415,3.36,3.44,-0.00,0.27,-0.21,-0.011
0,0,416,3.36,3.44,-0.00,0.38,-0.80,-0.011
0,0,417,3.35,3.44,-0.00,0.33,-0.44,-0.011
0,0,418,3.35,3.44,-0.00,0.66,-0.38,-0.011
0,0,419,3.35,3.44,-0.00,0.10,0.04,-0.011
0,0,420,3.36,3.44,-0.00,0.45,-0.23,-0.011
0,0,421,3.36,3.44,-0.00,0.18,0.27,-0.011
0,0,422,3.36,3.44,-0.00,0.24,-0.37,-0.011
